title,slug,url,metasearch_url,description,short_description,media_url,group_info,created,updated,ontology_terms,license,category
UniProtKB,uniprotkb,https://www.uniprot.org/,https://web.expasy.org/cgi-bin/sib_geneva_search?resource=uniprot,"The UniProt Knowledgebase is a central hub for the collection of functional information on proteins with accurate, consistent and rich annotation. It consists of UniProtKB/Swiss-Prot (expert-curated records) and UniProtKB/TrEMBL (computationally annotated records).",Protein sequence database,https://www.youtube.com/@uniprotvideos,"<p>Developed by the <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.sib.swiss/alan-bridge-group"" tt-mode=""url"">Swiss-Prot group</a> and the UniProt Consortium partners at EMBL-EBI and PIR, and supported by the <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.sib.swiss"" tt-mode=""url"">SIB Swiss Institute of Bioinformatics</a>.</p><p>UniProt is an&nbsp;<a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://elixir-europe.org/platforms/data/core-data-resources"" tt-mode=""url""><u>ELIXIR Core Data Resource</u></a><u> </u>and a <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://globalbiodata.org/scientific-activities/global-core-biodata-resources/"" tt-mode=""url"">Global Core Biodata Resource</a>.</p>",2020-06-18T13:59:48+00:00,2025-01-20T12:22:48+00:00,"Data submission, annotation and curation, Molecular interactions, pathways and networks, Protein sites, features and motifs, Function analysis, Protein structure analysis, Query and retrieval, Protein feature detection, UniProt accession, Protein sequence record, UniProtKB format, Training material, ID mapping, XML, UniProt keyword, RDF/XML, JSON, Sequence visualisation, Structure visualisation, EC number, PDB ID, ChEBI ID, GO concept ID, NCBI taxonomy ID, PubMed ID, FASTA-like (text), GFF, XML, UniProt keyword, RDF/XML, JSON, Sequence visualisation, Structure visualisation, EC number, PDB ID, ChEBI ID, GO concept ID, NCBI taxonomy ID, PubMed ID, FASTA-like (text), GFF",CC BY 4.0,Proteins & Proteomes
Selectome,selectome,https://selectome.org/,https://selectome.org/requests?out=xmle,"Selectome is a database of positive selection based on a rigorous branch-site specific likelihood test. Positive selection is detected using CODEML on all branches of animal gene trees. The web interface of Selectome enables queries according both to the results of positive selection tests, and to gene related criteria. Test results including positively selected sites can be visualized on the tree, and on the protein sequence alignment.",Database of positive selection,,"<p>Developed by the <a target=""_self"" rel=""nofollow noopener noreferrer"" href=""https://www.sib.swiss/marc-robinson-rechavi-frederic-bastian-group"" tt-mode=""url"">Evolutionary Bioinformatics group</a>.</p>",2020-06-18T13:59:48+00:00,2024-11-11T09:33:10+00:00,"JSON, Query and retrieval, Phylogenetic tree visualisation, TSV, Phylogenetics, JSON, Query and retrieval, Phylogenetic tree visualisation, TSV, Phylogenetics, Gene name, Ensembl gene ID, newick, Sequence alignment image, phyloXML, Ensembl gene tree ID",CC0,"Evolution biology, Genomics"
PROSITE,prosite,https://prosite.expasy.org/,https://web.expasy.org/cgi-bin/sib_geneva_search?resource=prosite,"PROSITE consists of documentation entries describing protein domains, families and functional sites as well as associated patterns and profiles to identify them.",Protein family and domain database,,"<p>Developed by the&nbsp;<a href=""https://www.sib.swiss/alan-bridge-group"" rel=""noopener noreferrer nofollow""><u>Swiss-Prot group</u></a>&nbsp;and supported by the&nbsp;<a href=""https://www.sib.swiss/"" rel=""noopener noreferrer nofollow""><u>SIB Swiss Institute of Bioinformatics</u></a>.</p>",2020-06-18T13:59:48+00:00,2025-03-11T11:43:56+00:00,"Protein sites, features and motifs, Prosite accession number, Protein interactions, Sequence classification, Query and retrieval, Multiple sequence alignment, Protein signature, Sequence profile, Protein sequence alignment, Protein structure image",PROSITE license,Proteins & Proteomes
SWISS-MODEL Repository,swiss-model-repository,https://swissmodel.expasy.org/repository/,https://swissmodel.expasy.org/service/sm_expasy_search.cgi,"SWISS-MODEL Repository is a database of protein structure homology models generated by the fully automated SWISS-MODEL modelling pipeline.

💡 SWISS-MODEL Repository currently provides models for the reference proteomes of 13 model organisms.",Protein structure homology models,,"<p>Developed by the <a href=""https://www.sib.swiss/torsten-schwede-group"" rel=""noopener noreferrer nofollow"">Computational Structural Biology group</a> and supported by the <a href=""https://www.sib.swiss"" rel=""noopener noreferrer nofollow"">SIB Swiss Institute of Bioinformatics</a>.</p>",2020-06-18T13:59:48+00:00,2024-10-14T14:16:14+00:00,"Protein features, Query and retrieval, NCBI taxonomy ID, UniProt accession, Protein sequence alignment, Protein structure image, Protein structure analysis, Protein name, Protein structural quality report, Protein features, Query and retrieval, NCBI taxonomy ID, UniProt accession, Protein sequence alignment, Protein structure image, Protein structure analysis, Protein name, Protein structural quality report, Deposition",CC BY-SA 4.0,"Structural Biology, Proteins & Proteomes"
SwissDock,swissdock,https://www.swissdock.ch/,http://www.swissdock.ch/search,"SwissDock is a protein ligand docking server, based on the Attracting cavities and Autodock Vina docking engines. The purpose of this server is to make protein-ligand docking accessible to a wide scientific community worldwide.",Docking of small ligands into protein active sites,https://www.youtube.com/@SwissdockTeam,"<p>Developed by the&nbsp;<a href=""https://www.sib.swiss/olivier-michielin-vincent-zoete-group"" rel=""noopener noreferrer nofollow""><u>Molecular Modelling group</u></a>&nbsp;and supported by the&nbsp;<a href=""https://www.sib.swiss/research-infrastructure/database-software-tools/sib-resources"" rel=""noopener noreferrer nofollow""><u>SIB Swiss Institute of Bioinformatics</u></a>.</p>",2020-06-18T13:59:49+00:00,2024-10-21T12:50:03+00:00,"Protein-ligand docking, Molecular modelling, Small molecules, Drug discovery, Training material, PDB ID, Chemical structure image, Mol2, SMILES string",CC BY 4.0,"Structural Biology, Medicinal chemistry, Proteins & Proteomes"
ENZYME,enzyme,https://enzyme.expasy.org/,https://web.expasy.org/cgi-bin/sib_geneva_search?resource=enzyme,ENZYME is a repository of information relative to the nomenclature of enzymes. It is primarily based on the recommendations of the Nomenclature Committee of the International Union of Biochemistry and Molecular Biology (IUBMB) and describes each type of characterized enzyme for which an EC (Enzyme Commission) number has been provided.,Enzyme nomenclature database,,"<p>Developed by the <a href=""https://www.sib.swiss/alan-bridge-group"" rel=""noopener noreferrer nofollow"">Swiss-Prot group</a>&nbsp;and supported by the&nbsp;<a href=""https://www.sib.swiss/"" rel=""noopener noreferrer nofollow""><u>SIB Swiss Institute of Bioinformatics</u></a>.</p>",2020-06-18T13:59:48+00:00,2025-02-11T12:46:37+00:00,"Enzymes, Molecular interactions, pathways and networks, Small molecules, Classification, EC number, Query and retrieval, Text annotation, Deposition, Cheminformatics, Textual format, RDF/XML, Compound name",CC BY 4.0,Proteins & Proteomes
HAMAP,hamap,https://hamap.expasy.org/,https://web.expasy.org/cgi-bin/sib_geneva_search?resource=hamap,"HAMAP is a system for the classification and annotation of protein sequences. It consists of a collection of manually curated family profiles for protein classification, and associated, manually created annotation rules that specify annotations that apply to family members. HAMAP is applied to bacterial, archaeal and eukaryotic proteins and used to annotate records in UniProtKB via UniProt's automatic annotation pipeline.",UniProtKB family classification and annotation,,"<p>Developed by the <a href=""https://www.sib.swiss/alan-bridge-group"" rel=""noopener noreferrer nofollow"">Swiss-Prot group</a> and supported by the&nbsp;<a href=""https://www.sib.swiss/research-infrastructure/database-software-tools/sib-resources"" rel=""noopener noreferrer nofollow""><u>SIB Swiss Institute of Bioinformatics</u></a>.</p>",2020-06-18T13:59:49+00:00,2025-03-11T11:45:17+00:00,"Gene and protein families, Protein sites, features and motifs, Microbiology, Sequence database search, HAMAP ID, Protein signature, Protein family report, UniProt accession, Sequence profile, Protein sequence alignment, EC number, Workflows, Virology",CC BY 4.0,Proteins & Proteomes
ViralZone,viralzone,https://viralzone.expasy.org/,https://web.expasy.org/cgi-bin/sib_geneva_search?resource=viralzone,"ViralZone is a  web resource for all viral genus and families, providing general molecular and epidemiological information, along with virion and genome figures. Each virus or family page gives an easy access to UniProtKB/Swiss-Prot viral protein entries.",Fact sheets about viruses linked to sequence databases,https://www.youtube.com/watch?v=DXXSspwt3AE,"<p>Developed by the <a href=""https://www.sib.swiss/alan-bridge-group"" rel=""noopener noreferrer nofollow"">Swiss-Prot group</a> and supported by the&nbsp;<a href=""https://www.sib.swiss"" rel=""noopener noreferrer nofollow""><u>SIB Swiss Institute of Bioinformatics</u></a>.</p>",2020-06-18T13:59:48+00:00,2025-03-11T11:46:54+00:00,"Virology, Infectious disease, Function analysis, Gene and protein families, Data visualisation, Genome visualisation, Structure classification, Ontology visualisation, Taxonomy, Keyword, Protein structure image, Online course, Structure image, NCBI taxonomy ID, SVG, Protein name (UniProt)",,"Proteins & Proteomes, Genes & Genomes, Structural Biology"
Bgee,bgee,https://www.bgee.org/,https://www.bgee.org/api/?page=search&action=expasy_result&display_type=xml,"Bgee includes a knowledgebase with expert curation and a software tool for gene expression data (including all types of transcriptomes). Bgee allows retrieval and comparison of expression patterns between animals, human, model organisms and diverse species of evolutionary or agronomical relevance.

💡 Bgee is the only resource to provide homologous gene expression comparisons between species.",Gene expression expertise,https://www.youtube.com/watch?v=D5VtS2_tVn4,"<p>Developed by the <a target=""_self"" rel=""nofollow noopener noreferrer"" href=""https://www.sib.swiss/marc-robinson-rechavi-frederic-bastian-group"" tt-mode=""url"">Evolutionary Bioinformatics group</a> and supported by the <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.sib.swiss/database-software-tools/sib-resources"" tt-mode=""url"">SIB Swiss Institute of Bioinformatics</a><a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.sib.swiss/research-infrastructure/database-software-tools/sib-resources"" tt-mode=""url"">.</a></p><p>Bgee is a <a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://globalbiodata.org/scientific-activities/global-core-biodata-resources/"" tt-mode=""url"">Global Core Biodata Resource</a>.</p>",2020-06-18T13:59:48+00:00,2024-11-11T09:33:41+00:00,"RNA-Seq, Microarray experiment, Anatomy, Training material, Developmental biology, Developmental biology, Gene name, UniProt accession, Ensembl gene ID, Gene name, UniProt accession, Ensembl gene ID, Query and retrieval, Gene expression profile, Enrichment analysis, Expression profile comparison, Expression data visualisation, Data integration and warehousing, TSV, Microarray metadata, HDF5",CC0,"Transcriptomics, Evolution biology"
neXtProt,nextprot,https://www.expasy.org/archives/nextprot,,"💡 neXtProt data and tools have been archived.

neXtProt was a knowledgebase with expert curation and associated tools. It provided information on human proteins such as function, involvement in diseases, mRNA/protein expression, protein/protein interactions, PTMs, protein variations and their phenotypic effects.",Human protein knowledgebase,,"<p>Developed by the <a href=""https://www.sib.swiss/amos-bairoch-lydie-lane-group"" rel=""noopener noreferrer nofollow"">CALIPHO group</a>.</p>",2020-06-18T13:59:48+00:00,2025-04-09T05:53:11+00:00,"Human biology, Proteomics, Rare diseases, Sequence variations, ChEBI ID, EC number",,Proteins & Proteomes
